Max Pods,CPU Utilization
1,12.922750000000002
2,24.3615
3,36.03949999999998
4,48.02975000000002
5,60.33275
6,72.75100000000002
7,82.43325000000002
8,94.55769230769228
9,94.02973684210524
10,93.97078947368418
11,95.21424999999996
12,96.17825
13,98.28849999999994
14,97.22399999999993
